Objective,Distance [mi],Vert [ft],Area,Aspect,Map/ Trip Report,Interest Level,Done before?,Type,Skill,Strenuous,Lowest elevation,Highest elevation,Best Time of Year,Notes,Interested People
The Triad Kumquat Couloir,,,Cascade River Road Bridge (Marblemount Bridge),N,https://engineeredforadventure.com/kumquat-couloir/,,FALSE,Couloir,,,2100,7500,Winter/Spring,Very Difficult,
Trapper Mountain North Couloir,,,Cascade River Road Bridge (Marblemount Bridge),N,https://turns-all-year.com/trip-reports/june-22-23-trapper-mtn-north-couloir-sahale,,FALSE,Couloir,,,2100,7500,Winter/Spring,Very Difficult,
Tricouni Peak West Couloir (Carl Skoog 1991),,,Cascade River Road Bridge (Marblemount Bridge),W,,,FALSE,Couloir,,,2100,8000,Winter/Spring,Difficult,
Tricouni Peak Triceratops,,,Cascade River Road Bridge (Marblemount Bridge),S,https://www.jasonhummelphotography.com/2021/06/14/klawatti-primus-austera-and-tricouni-slam/,,FALSE,Couloir,,,2100,8000,Winter/Spring,Difficult,
Mount Fernow Infernow Couloir,,,Chiwawa River,N,https://www.cascadecrusades.org/SkiMountaineering/fernow/northfacefernow/northfaceapril2011.htm,,FALSE,Couloir,,,3400,9000,Spring,,Nick
Seven Fingered Jack Jacked Couloir,,,Chiwawa River,NW,https://www.whereiskylemiller.com/stevens-pass/mount-maude-seven-fingered-jack/,,FALSE,Couloir,,,3400,9000,Spring,,
Argonaught Peak Northwest Couloir,,,Eightmile Campground,NW,https://cascadeclimbers.com/forum/topic/103490-tr-argonaut-peak-northwest-arete-06212020/,,FALSE,Couloir,,,2000,8400,Winter/Spring,,Nick
Axis Peak Northeast Couloir,,,Eightmile Campground,NE,https://climberkyle.com/2021/03/27/axis-peak-adventure-ski/,,FALSE,Couloir,,,2000,7500,Winter/Spring,,Nick
Cannon Mountain East/Northeast Couloir,,,Eightmile Campground,"NE, E",,,FALSE,Couloir,,,2000,8600,Winter/Spring,,"Nick, Tuan"
Cashmere Peak South Couloir,,,Eightmile Campground,S,https://turns-all-year.com/trip-reports/cashmere-mountain-s-couloir,,FALSE,Couloir,,,2000,8500,Spring,,Nick
Cashmere Peak North Couloir,,,Eightmile Campground,N,https://engineeredforadventure.com/cashmere-mountain-nw-face-ne-couloir/,,FALSE,Couloir,,,2000,8500,Spring,,Nick
Colchuck Northeast Couloir,,,Eightmile Campground,NE,https://www.summitpost.org/northeast-buttress-couloir/259147,,FALSE,Couloir,,,2000,8500,Winter/Spring,,"Nick, Tuan"
Colchuck Peak North Buttress Couloir,,,Eightmile Campground,N,https://www.summitpost.org/north-buttress-couloir/162206,,FALSE,Couloir,,,2000,8500,Winter/Spring,,"Naomi P, Nick, Tuan"
Dragontail Peak Northeast Couloir,,,Eightmile Campground,NE,,,FALSE,Couloir,,,2000,8800,Winter/Spring,,"Naomi P, Nick"
Dragontail Peak Triple Couloirs,,,Eightmile Campground,N,,,FALSE,Couloir,,,2000,8800,Winter/Spring,,Naomi P (Ice dream)
Eightmile Mountain North Couloir,,,Eightmile Campground,N,,,FALSE,Couloir,,,2000,7900,Winter/Spring,,Nick
Jay Peak Crescent Couloir,,,Eightmile Campground,S,http://www.alpenglow.org/nwmj/04/041_Shorts.html,,FALSE,Couloir,,,2000,7500,Winter/Spring,,Nick
Mount Stuart Stuart Glacier Couloir,,,Eightmile Campground,N,,,FALSE,Couloir,,,2000,9200,Winter/Spring,,"Naomi P, Nick"
Sherpa Peak Northeast Couloirs,,,Eightmile Campground,NE,,,FALSE,Couloir,,,2000,8500,Winter/Spring,,Nick
Copper Peak Northwest Couloir,,,Holden,NW,https://turns-all-year.com/trip-reports/copper-peak-n-couloir-via-holden,,FALSE,Couloir,,,3200,8800,Winter/Spring,,
Copper Peak Maple Couloir,,,Holden Village,NE,,,FALSE,Couloir,,,3200,8800,Winter/Spring,Very Difficult,
Goat Mountain Northwest Couloirs (Udders),,,Mount Baker Ski Area,NW,https://turns-all-year.com/trip-reports/goat-mountain-west,,FALSE,Couloir,,,2900,6800,Winter/Spring,,Tuan
Mount Shuksan North Butress Couloir,,,Mount Baker Ski Area,NW,,,FALSE,Couloir,,,2900,9100,Winter/Spring,,
Mount Shuksan Southwest Face Couloir,,,Mount Baker Ski Area,SW,,,FALSE,Couloir,,,2900,9100,Spring,,
Mount Shuksan North Face West Variation Couloir,,,Mount Baker Ski Area,W,,,FALSE,Couloir,,,2900,9100,Winter/Spring,,
Mount Shuksan South Couloir,,,Mount Baker Ski Area,S,,,FALSE,Couloir,,,2900,9100,Spring,,
North Twin South Couloir,,,Mount Baker Ski Area,S,,,FALSE,Couloir,,,2900,6600,Spring,,
Slate Peak Clean Slate,,,Mount Baker Ski Area,NW,https://cascadeclimbers.com/forum/topic/104350-tr-slate-peak-clean-slate-couloir-02212022/,,FALSE,Couloir,,,2900,5300,Winter,,Elizabeth
The Plaides South Couloirs,,,Mount Baker Ski Area,S,https://cascadeclimbers.com/forum/topic/84705-tr-pleiades-larrabee-mt-shuksan-southside-couloirs-eastside-nwc-1132012/,,FALSE,Couloir,,,2900,7200,Winter,,
Mount Rainier Sunset Amphitheater Couloir,,,Mount Rainier National Park,SW,https://skisickness.com/Rainier/Sunset/,,FALSE,Couloir,,,4500,13000,Spring,,
Governor's Ridge Southeast Couloir,,,Mount Rainier National Park,SE,,,FALSE,Couloir,,,3900,6500,Spring,Road to fryingpan creek must be open,
Cadet Peak West Couloir,,,Mountain Loop Scenic Byway,W,https://cascadecrusades.org/SkiMountaineering/cadetpeak/westface/westface2005/westface2005.htm,,FALSE,Couloir,,,2200,6900,Spring,,
Lewis Peak West Couloir,,,Mountain Loop Scenic Byway,W,,,FALSE,Couloir,,,2200,5600,Spring,road open,
Wilman’s Spire North Couloir,,,Mountain Loop Scenic Byway,N,,,FALSE,Couloir,,,2200,6800,Spring,,
Painted Mountain Ruby Lake Couloir,,,Mountain Loop Scenic Byway,W,https://turns-all-year.com/trip-reports/dec-12-2009-painted-couloir-red-mt,,FALSE,Couloir,,,2000,6900,Spring,,Tuan
Three Fingers East Couloir,,,Mountain Loop Scenic Byway,SE,https://skitracks.wordpress.com/2013/05/25/year-of-the-bail/,,FALSE,Couloir,5,5,800,6600,Never,SCARY,
Golden Horn North Couloirs,,,North Cascades National Park,N,,,FALSE,Couloir,,,4000,8000,Spring,Difficult,
Mesachie Peak Mesachie Icefall Couloir,,,North Cascades National Park,NE,,,FALSE,Couloir,,,3400,7400,Spring,Very Difficult,
Mount Hardy Northeast Couloirs,,,North Cascades National Park,NE,,,FALSE,Couloir,,,3400,8000,Spring,Very Difficult,
Tower Mountain Northeast Couloir,,,North Cascades National Park,NE,,,FALSE,Couloir,,,3400,8200,Spring,Very Difficult,
North Gardner Peak Northeast Couloir,,,North Cascades National Park,NE,,,FALSE,Couloir,,,3000,8900,Spring,Difficult,
Mount Robinson North Couloir,,,North Cascades National Park,N,,,FALSE,Couloir,,,2400,8700,Spring,Very Difficult,
Azure Lakes Azure Lakes Couloirs,,,North Cascades National Park,"N, NE",,,FALSE,Couloir,,,1000,7000,Winter/Spring,Very Difficult,
Mount Degenhart (Pickets) West/Northwest Couloir,,,North Cascades National Park,"W, NW",,,FALSE,Couloir,,,1000,8000,Spring,Extremely Difficult,
Twin Needles (Pickets) Thread of Ice,,,North Cascades National Park,N,,,FALSE,Couloir,5,,1000,8000,Spring,Extremely Difficult,
Mount Angeles East/Northeast (Pipeline) Couloir,,,Olympic National Park,"E, NE",https://hike2hike.com/snowshoeing/mount-angeles-olympic-national-park/,,FALSE,Couloir,,,4400,6400,Winter,,
Mount Ellinor Northeast Couloir,,,Olympic National Park,NE,https://cascadeclimbers.com/forum/topic/4479-ellinor-from-the-north/,,FALSE,Couloir,,,3600,5800,Winter,,"Denise, Tuan"
Mount Deception Northeast Chute,,,Olympic National Park,NE,https://turns-all-year.com/trip-reports/mt-deception-ne-chute-solo,,FALSE,Couloir,,,2600,7600,Spring,,
Mount Johnson Northwest Couloir,,,Olympic National Park,NW,https://en.wikipedia.org/wiki/Mount_Johnson_(Washington),,FALSE,Couloir,,,2600,7600,Spring,,
Sundial Peak South Couloirs,,,Olympic National Park,S,,,FALSE,Couloir,,,2600,7600,Spring,,
Mount Fairchild Southeast Couloir,,,Olympic National Park,SE,,,FALSE,Couloir,,,1900,6900,Spring,,
Goode Mountain Southwest Couloir,,,Rainy Pass Trailhead,SW,,,FALSE,Couloir,,,4800,9000,Spring,Difficult,
Goode Mountain North Couloir,,,Rainy Pass Trailhead,N,https://turns-all-year.com/trip-reports/19-april-2015-goode-mtn-nw-couloir-open-4-business,,FALSE,Couloir,,,4800,9000,Spring,Extremely Difficult,
Whistler Couloir,,,Rainy Pass Trailhead,E,,,FALSE,Couloir,,,4800,7700,Spring,Difficult,
Lichtenberg Mountain North Couloir,,,Stevens Pass,N,,,FALSE,Couloir,,,3300,5800,Winter,,"Nick, Denise"
North Chiwaukum North Couloir,,,Stevens Pass,N,,,FALSE,Couloir,,,2400,8000,Winter,,Nick
Argonaut Peak Southwest Couloir,,,Teanaway River,SW,,,FALSE,Couloir,,,4500,8400,Spring,,"Naomi P, Nick, Denise"
Little Annapurna South Couloir,,,Teanaway River,S,,,FALSE,Couloir,,,4500,8400,Spring,,Tuan
Mount Stuart West Knotch Couloir,,,Teanaway River,SW,,,FALSE,Couloir,,,4500,9200,Spring,,
Sherpa Peak South Couloir,,,Teanaway River,S,,,FALSE,Couloir,,,4500,8500,Spring,,
Huckleberry Mountain North Couloir,,,The Summit at Snoqualmie,N,https://climberkyle.com/2021/05/22/the-snoqualmie-haute-route/,,FALSE,Couloir,0,0,3000,6300,Winter,,
Mount Thomson North Couloir,,,The Summit at Snoqualmie,N,https://engineeredforadventure.com/mt-thompson-n-couloir/,,FALSE,Couloir,0,0,3000,5900,Winter,,
Three Queens South Couloir,,,The Summit at Snoqualmie,S,,,FALSE,Couloir,0,0,2400,5400,Spring,,
Gilbert Mountain West Couloir,,,Washington Pass,W,,,FALSE,Couloir,,,5000,7800,Spring,Moderate,
Half Moon Bong Couloir,,,Washington Pass,N,,,FALSE,Couloir,,,5000,8200,Spring,Moderate,
Big Kangaroo North Couloir,,,Washington Pass,N,,,FALSE,Couloir,,,5000,8300,Spring,Very Difficult,
Snagtooth Ridge Dog Tooth Couloir,,,Washington Pass,W,,,FALSE,Couloir,,,5000,8000,Spring,Difficult,
South Early Winters Spire Southwest Couloir,,,Washington Pass,SW,,,FALSE,Couloir,,,5000,7800,Spring,Very Difficult,
Wallaby Peak Life is Good Gully,,,Washington Pass,N,,,FALSE,Couloir,,,5000,8000,Spring,Difficult,
Wallaby Peak South Couloir,,,Washington Pass,S,,,FALSE,Couloir,,,5000,8000,Spring,Difficult,
Silver Star Mountain Southwest Couloir,,,Washington Pass,SW,,,FALSE,Couloir,,,3500,8800,Spring,Difficult,Tuan
Silver Star Mountain South Couloir,,,Washington Pass,S,,,FALSE,Couloir,,,3500,8800,Spring,Difficult,Tuan
,,,,,,,FALSE,,,,,,,,
